comment,user,content,now_time,id,assist,transmit,url
,乐天妈滔敬,【宝宝3个月】这时的宝宝开始对周围东西充满了好奇。此时，妈妈可以用色彩丰富的摇铃玩具来吸引宝宝，锻炼宝宝的手眼协调能力。此外，这时的宝宝会开始喜欢抬起他的小脑袋，趴着玩耍，看到这一幕时，妈妈需要鼓励宝宝，并且可以给宝宝拿面镜子，让他看看里面的小人，他会更高兴的。,2017年11月26日 10:02,FwQhAz14D,0,,https://weibo.cn/comment/FwQhAz14D?uid=5722121367&rl=1
,冰之恋婷bzlt,"通知‼️‼️‼️,12月1号糖果涨价到288元一盒 想减肥的聪明的宝宝就现在来买吧 预定也是原价 当然 土豪随意  🌝你开心就好 么么 ,",2017年11月26日 10:04,FwQi9rlhv,0,,https://weibo.cn/comment/FwQi9rlhv?uid=5639111238&rl=1
,李易峰05040807,"蜜蜂宝宝们，谁有这张图的原图啊？, ,  你有吗？   ,",2017年11月26日 10:02,FwQhB8du6,0,,https://weibo.cn/comment/FwQhB8du6?uid=5536337469&rl=1
,你最亲爱的北鼻,"我免费围观了 , 的回答，问题价值 100.00 元，快来一起免费围观~ ,",2017年11月26日 10:02,FwQhgacim,0,,https://weibo.cn/comment/FwQhgacim?uid=1740069631&rl=1
,HMDF和美东方产后恢复管理中心,"在母乳喂养的过程中，会遇到很多问题，也会接受到各种“好心”的建议。到底怎么办才好?别人说的都对吗？一定会要分清楚，只选对宝宝最好的建议来听取。, , 发布了头条文章：《母乳太清是没营养吗？这些哺乳问题你错了几个！》 ,",2017年11月26日 10:02,FwQhqaese,0,,https://weibo.cn/comment/FwQhqaese?uid=1719535331&rl=1
1,王小美小美,"崔医生，您好，我家宝宝现在快十一个月了，睡觉前都是喂母乳，母乳喂着以后一会就醒然后再喂。醒了之后拍拍不睡就想吃奶睡着。晚上也是母乳，夜间总醒。我家宝宝觉轻，稍微有一点动静就醒。我想问一下像十一个月的宝宝睡觉作息时间是怎样的？有没有办法让他睡的时间长一些？,  ,  , , [头晕]你说的这个问题，我记得崔玉涛大夫有提到处理方法的，你可以看看：, 衫序警织蹂宏辏檐涓樗 今天能做的事，不要拖到明日。——富兰克林",2017年11月26日 10:01,FwQhb9s3C,0,,https://weibo.cn/comment/FwQhb9s3C?uid=2493152755&rl=1
,babywolf_0510,"[狗]171126, ,[一箭穿心][婴儿]🏻",2017年11月26日 09:39,FwQ8iBNGl,35,26,https://weibo.cn/comment/FwQ8iBNGl?rl=1
27952,原图妈,"2万给你还花呗，够吗?,记得关注我和, ,提前恭喜中奖的仙女们[跪了],回复,:谢谢你哦,回复,:我也是，绝对的完全的屏蔽中奖，真是6了,嘻嘻嘻,吓得我立马就转了,提前恭喜中奖的宝宝们,？？？？,我的天啊,回复,:吸！！！,求你了 让我当一次幸运儿吧[泪][泪],哈哈哈哈哈哈,回复,:谢谢你恭喜我,我不扶墙，就服你,  [跪了][跪了]",2017年11月25日 20:05,FwKNq58ZH,36190,102345,https://weibo.cn/comment/FwKNq58ZH?rl=1
,百变明星档,"恭喜！张雨绮生龙凤胎 经纪人晒宝宝满月照！ ,",2017年11月26日 10:00,FwQgNbHbp,0,,https://weibo.cn/comment/FwQgNbHbp?uid=6183820853&rl=1
5,一笔桃花凉,", , ,来发个萌萌的司音小哥哥[害羞],其实我只是希望蜜蜂们不要看到扶摇大王就爬墙了[吃瓜][吃瓜][吃瓜]这个现象现在很严重[摊手]司音宝宝也是需要关爱的哒[可怜] , ,互相助攻，请评论我微博置顶第一条[心],回复,:[爱你],哈哈哈哈哈哈,回复,:[挤眼][挤眼][挤眼],哈哈司音小哥哥",2017年11月26日 10:01,FwQh7izcw,3,,https://weibo.cn/comment/FwQh7izcw?uid=2870744994&rl=1
,育儿萌宝妈,八款和宝宝一起玩的游戏，让宝宝乖巧又快乐。[围观],2017年11月26日 10:00,FwQgODLEl,0,,https://weibo.cn/comment/FwQgODLEl?uid=5233715937&rl=1
,持家小哥,"先领券 10点拍！！抢白菜了！！领券蹲抢啊~[鼓掌][鼓掌],馥佩护手霜拍2件共发12支 券后13  之前5支就14了 这个牌子的护手霜特别好用，各大超市都有卖的，比这个贵多了~,领券&下单：, ,",2017年11月26日 09:32,FwQ5a9PvE,4,1,https://weibo.cn/comment/FwQ5a9PvE?rl=1
,刘木希,"手臂吸脂精雕[vs]对比案例 ,术后纤细修长的手臂 无论穿什么都显瘦 吸脂的宝宝们术后要坚持穿塑身衣塑形 固定紧致皮肤 这个冬天不知不觉瘦下来[眨眼]",2017年11月26日 10:04,FwQie9Hk9,0,,https://weibo.cn/comment/FwQie9Hk9?uid=3625976975&rl=1
2,么么惜小君,",九把刀的《楼下的房客电影网盘》分享给你[可爱][鼓掌]喜欢惊悚恐怖片的宝宝们一起来看～ , ,＋威心 diudiu77112 汁源免飞分享 不求打赏 不要红包哦～,已经拿到，谢谢",2017年11月26日 10:01,FwQgUfa7D,5,4,https://weibo.cn/comment/FwQgUfa7D?uid=1917912903&rl=1
,余笑笑_,宝宝，你什么时候才能长的跟方向盘一样高高，不要感冒[口罩]，麻麻就带你走遍全国[可怜],2017年11月26日 10:02,FwQhAuGTR,0,,https://weibo.cn/comment/FwQhAuGTR?uid=1197692450&rl=1
,请叫我辣妈0,"宝宝要起床啦 ,",2017年11月26日 10:04,FwQieplTs,0,,https://weibo.cn/comment/FwQieplTs?uid=6033151533&rl=1
56,DC大叔,"非常棒！大提琴+钢琴版《Perfect》by Ed Sheeran！夫妻还秀了他们的宝宝，非常有爱..[心] , ,很配 这样的幸福和爱情[心],[星光]I have met an angel in person and she looks perfect.,很配 这样的幸福和爱情[心],好温馨啊,回复,:啊啊啊 好久没听到他们俩的新作品啦 baby都生了哈哈哈 好听好听比心[爱心]️,暖[心][心][心],[绿叶][加油机]️,[心],琴瑟和鸣",2017年11月25日 23:23,FwM63gy3O,530,220,https://weibo.cn/comment/FwM63gy3O?rl=1
,夜夜夜夜-z,"真的是要吓死宝宝…… ,",2017年11月26日 10:02,FwQhycaqc,0,,https://weibo.cn/comment/FwQhycaqc?uid=1872596332&rl=1
,gaj为人民服务,"让我们的祝福更真；我谁能懂得我的伤……海綿寶寶說[ali追] ,",2017年11月26日 10:02,FwQhz2LSV,0,,https://weibo.cn/comment/FwQhz2LSV?uid=2622456291&rl=1
,星海的雨滴,",做幼师的宝宝们？来说说你们都在哪里，工资都是多少？",2017年11月26日 10:01,FwQgR2uNT,0,,https://weibo.cn/comment/FwQgR2uNT?uid=5675193349&rl=1
1,白菜快报,"【扬美】艾草老姜藏红花泡脚包72包，6.5入,【萱草】暖宝宝贴20片，12.8入 ,泡脚包 ,   暖宝宝贴",2017年11月26日 10:04,FwQif1VXi,0,,https://weibo.cn/comment/FwQif1VXi?uid=1918614507&rl=1
,木子小狸-比比芭比波比,是时间该出去走走了，小宝宝[婴儿]快出生吧,2017年11月26日 10:02,FwQht7ziF,0,,https://weibo.cn/comment/FwQht7ziF?uid=2089679657&rl=1
,黄金土操场旁的小加号,没错，本宝宝要减肥啦！,2017年11月26日 10:02,FwQhsfsJU,0,,https://weibo.cn/comment/FwQhsfsJU?uid=5863162718&rl=1
,maolesha,"mc777在路边，妈妈开始唱首歌，小宝宝就安安静静地托着脸，听着歌看着妈妈，非常专注和认真。这个眼神，真是满满的爱意了[心][心],[悲催]",2017年11月26日 10:02,FwQhujIYk,0,,https://weibo.cn/comment/FwQhujIYk?uid=2984326771&rl=1
,25Dollars佳益,【对付宝宝不爱吃饭的方法：家人以身作则】对付宝宝不爱吃饭，首先家人就要以身作则，让宝宝了解清楚吃东西和用餐礼仪的重要性，虽然刚开始宝宝的表现会不符合成人的要求，但只要持之以恒，相信宝宝会接受这些良好的行为模式。,2017年11月26日 10:02,FwQhxhmNk,0,,https://weibo.cn/comment/FwQhxhmNk?uid=3634083237&rl=1
,搞笑公,【新生儿“手握”避孕环出生：“想搞死我没那么容易”！】一个健康的新生儿和一枚节育器同时被一名女子产出体外，这只随着宝宝一同出生的“小武器”是一种避孕工具，医学名为“宫内节育器”。不仅从几亿同胞中抢到第一，还勇于打破禁锢的枷锁，厉害了！[doge] 你怎么评,2017年11月26日 10:02,FwQhsjc3a,0,,https://weibo.cn/comment/FwQhsjc3a?uid=2287235162&rl=1
,小湯圓cc__,"终于把你嫁出去了[喜][男孩儿][女孩儿],期待后年一起生个[猪头]宝宝,昨天坐在小船上的你🛶,简直美翻了👰🏻,我在台下哭成SB,看到越南哥对你那么好,我就放心了[心],真心替你高兴,我的妞[熊猫] ,",2017年11月26日 10:04,FwQif1Wza,0,,https://weibo.cn/comment/FwQif1Wza?uid=3238336125&rl=1
1,领券撸白菜,"【萱草】卡通表情暖宝宝贴暖宫贴20片【12.8入】 ,戳戳戳, 或者复制这条评论￥F2Lv07wGXE6￥，打开【淘宝APP】即可并下单！ 更多优惠商品都在白菜51网,搜索即可",2017年11月26日 10:04,FwQihErT4,0,,https://weibo.cn/comment/FwQihErT4?uid=5690228713&rl=1
71,iPanda熊猫频道,", 我在北方的寒冬里裹着貂，带你看南方的熊猫耍活宝~[哈哈][哈哈]全球唯一的大熊猫三胞胎集体吃播，速速围观~[来][来] , . ,两百多斤的美女,欢迎大家收看爱胖达直播,错了，250斤，我算数不好,啥数学能力……,北川也很胖,好想再去一次看他们呀,哈哈哈哈哈哈，四岁450斤,快快快来看萌酷帅[憧憬][憧憬][憧憬],  ,  ,122公斤,两百多斤的美女,额…,回复,:那人说服务好snsj水多多、ofof和我在一o to t起鸡鸡总是ododod硬邦邦[色][色][色",2017年11月26日 10:00,FwQgvpCxF,471,19,https://weibo.cn/comment/FwQgvpCxF?rl=1
62,For_ohsehun,"来了54经常去的奶茶店，给奶奶看了54昨晚的solo表演，奶奶一脸宠溺，说54三天前打电话来订过外卖，每一次口味都几乎是同一个，真是执着的孩子[哈哈] , , , 这哥爱吃的东西 爱穿的衣服 爱戴的帽子 每天健身 练舞 喜欢凌晨很晚睡 都很有规律 很好掌握 hhhhhhh 不会变的 OSH爱什么就一直爱 喜欢的东西也是, , 一直都是我最爱的那个乖宝宝[爱你],回复,:m!新沙洞659-9,三天前就是我去的那一天啊啊啊啊啊啊啊啊[淚][淚][淚][淚],54喜欢的口味真的很甜啊[眼泪]我们的甜宝宝,果然还是无法放弃他最爱的奶茶呐 是我们的奶包没错[喵喵],请问是那家店有地址吗,哈哈哈哈哈哈哈没忍住还是喝了吗.一边举着哑铃一边喝着奶茶[微笑]大胸勋, , ,真是执着的孩子[爱你]（我不丑陋，一点也不[允悲],这个奶奶人超好的，上次去还一直跟我讲世勋都几号类似过店里之类的，还帮我找厕所[允悲],还是巧克力奶茶么？真的不算甜啊。[憧憬][憧憬][憧憬]挺好喝,还是那个乖宝宝",2017年11月25日 19:26,FwKxyqUY4,814,1471,https://weibo.cn/comment/FwKxyqUY4?rl=1
10,妮妮宝妮妮,"宝宝应该不只是给小熊猫加了蝴蝶结 还加了滤镜吧[笑cry][笑cry][笑cry]宝宝真的是个宝宝[笑cry][笑cry][笑cry] , 老师审美果然很不错还是走可爱style[好喜欢],回复,:我也想这么说[允悲], 这要有个女儿好会给她拍照呢, ,回复,:是挺像的[笑cry] ,回复,:哈哈哈哈哈 都是小可爱,你不觉得这熊猫耸肩缩脖子睁着大眼一脸乖乖的呆在墙角的样子特别像你宝吗[允悲]而且很少见到五官这么立体的滚滚[笑cry],回复,:毕竟是宝宝嘛,加的粉粉的[兔子],知道把滚滚整白点 也给自己整白点嘛！商量个事…黑粉扔了吧[偷笑],  ,66666",2017年11月26日,FwN3Fgzbg,50,4,https://weibo.cn/comment/FwN3Fgzbg?rl=1
,fass0sb,",蜜蜂宝宝们再撑几天，杨幂马上就要出关了！！！[太开心][太开心][太开心] ?",2017年11月26日 10:04,FwQikmlLM,1,,https://weibo.cn/comment/FwQikmlLM?uid=5325593210&rl=1
,走不动娃娃,",蜜蜂宝宝们再撑几天，杨幂马上就要出关了！！！[太开心][太开心][太开心] ?",2017年11月26日 10:01,FwQgWBYPM,1,,https://weibo.cn/comment/FwQgWBYPM?uid=2610846230&rl=1
451,海绵宝宝SBSP,"海绵宝宝最感谢的就是铲铲们的喜爱和支持啦，于是，感恩节福利来袭！[太开心]深受大家喜爱的金色笔记本（非卖品哦）再次作为福利放出[心]关注本宝宝，转发本条微博并带话题,，说出你最感谢的人，我们会在11月26日抽出4名铲铲获得海绵宝宝金色笔记本哦[鼓掌]并且转发量高还会有追加福利哦，比如追加名额什么的[笑而不语]，所以快转出去让更多铲铲看到吧！[爱你], 诶刚才没看到 我最感谢的人！当然是我的妈妈啊！[污],感恩碧狸，让我戒除游戏瘾[微笑][微笑][微笑],  想起高三语文老师!上课拿着我的海绵宝宝问是什么啊啊啊啊[羞嗒嗒]超级好的老师，每次回去都会看他[求关注]上课的时候还会老盯着我不许走神，高考语文严重失手还是很鼓励我[求关注][求关注][求关注]很棒的老师呀，还有很多要感谢的老师，都超级棒! [羞嗒嗒]啊啊啊i'm ready! ,  最感谢我自己，言出必行，说到做到。, 最感谢的肯定莫过于爸妈[心]父母在尚有来处 父母去人生只剩归途,想要啊[羞嗒嗒][羞嗒嗒][羞嗒嗒],最感谢的国家，然后就家人。,感谢爸妈,感谢国家[哆啦A梦微笑],麻烦抽我，谢谢🙋,感谢国家[哆啦A梦微笑],海绵宝宝[憧憬]陪着弟弟一起看海绵宝宝长大的[羞嗒嗒],转发微博",2017年11月23日 17:48,Fwr3atCrV,269,991,https://weibo.cn/comment/Fwr3atCrV?rl=1
2068,生命时报,"【7亿中国人感染了这种细菌！胃癌是这样一步步找上你的[衰]】俗话说十人九胃，胃酸、胃胀、胃痛已经成了当代人的通病。引起胃病的原因多种多样，但有一个最容易被你忽视——幽门螺杆菌。世界卫生组织报告显示，一半胃癌与幽门螺杆菌有关，幽门螺杆菌感染者患胃癌的危险性会增加2~3倍。戳图学预防方法↓ ,回复,:有点害怕自己也有这胃病，我是经常吃完饭后胃酸，胃胀……,回复,:问题是根治了之后也很容易感染，尤其是家里一个人有的话，其实代表一家人都有，我们又不实行分餐制,  ,  ,回复,:窝的尿。。。老表你好,可怕,真的好危险啊     我们农村人就是大人有小宝宝就是放在嘴巴里嚼了之后给小宝宝吃的, ！,回复,:真的吗？我吃了一周的药，除了便秘治好了一点。肚子还是胀连着小腹一起胀。,怎么治疗，已经感染[拜拜],怎么查,回复,:吃了什么药？",2017年11月24日 15:33,FwzAun69S,3491,2860,https://weibo.cn/comment/FwzAun69S?rl=1
,菲同小Ke,"回家来，就是反反复复地睡觉[睡觉]睡觉[睡觉]睡觉，这样悠闲慵懒的周末也别有一番滋味,",2017年11月26日 10:04,FwQiixJNc,0,,https://weibo.cn/comment/FwQiixJNc?uid=2658076513&rl=1
,福建江夏学院校宣传部,冷风嗖嗖，大家要注意保暖呀！暖宝宝贴起来~,2017年11月26日 10:01,FwQgXfaO6,0,,https://weibo.cn/comment/FwQgXfaO6?uid=2698823123&rl=1
,持家一姐,"宝宝们  这个奖是今天开哟！,",2017年11月26日 10:01,FwQhdbbEo,1,,https://weibo.cn/comment/FwQhdbbEo?uid=3860585716&rl=1
,铖汐86,"1岁男宝宝半夜因尿床致死！婆婆知道原因后，怒将媳妇告上法庭！90后的小红跟老公结婚后，第一胎顺产生了一个可爱的女宝宝，半年后因为意外怀孕一家人都特别的开心，都期待小红能生个大胖小子,",2017年11月26日 10:01,FwQhe3hjY,0,,https://weibo.cn/comment/FwQhe3hjY?uid=1704877033&rl=1
,akerene_,"D-14 , ,一直都非常喜欢这张自拍啊，他简直就是个小宝宝啊他，这么可爱好想用被子把他裹起来抱在怀里一辈子啊啊啊啊啊！,【设为壁纸于是每次摁亮手机看到如此萌物自己也是不由自主的颧骨升天..坏心情负能量是什么玩意儿不好意思我不懂】",2017年11月26日 10:01,FwQhfgOYt,0,,https://weibo.cn/comment/FwQhfgOYt?uid=5946981348&rl=1
,讨你余笙,哈哈哈，给宝宝买的衣服今天就可以到了  想看他穿,2017年11月26日 10:01,FwQhffqpK,0,,https://weibo.cn/comment/FwQhffqpK?uid=2790757975&rl=1
,Sharon泡芙,【幼儿教育】动手是儿童发展思维的体操。俗话说：“心灵手巧”，妈妈们要在平时的交流和互动中不断鼓励宝宝，让他们把做家务当做乐趣和自己对家庭应该尽的义务。在摆餐桌时，可请他摆放桌垫、餐巾纸等；请孩子把脏衣服放到贴有米老鼠的衣服篓中，这样，孩子对家务活就会感兴趣而乐意去做。,2017年11月26日 10:01,FwQgZ1Ls8,0,,https://weibo.cn/comment/FwQgZ1Ls8?uid=6266741512&rl=1
1744,TF家族新生-贺峻霖,"和大家分享一张后台的照片[嘻嘻]憋了好久，今天发出来啦 ,这么好看的脸得九宫格啊崽！,啊啊啊！！帅！！, 爱你，小星星霖最好看,发生了什么,每个宝宝都好看到爆炸啊这次五练[鼓掌],帅帅哒。,我怎么才看到呢[心][心],在参加什么活动,回复,:[心],有您这么一个和我同星座的超级宇宙无敌大帅哥我可是真的太开心了啊啊啊啊啊啊啊啊啊啊,啊啊啊啊啊啊啊啊啊啊小盒好帅啊,贺撩撩啊啊啊啊[doge][doge],你吧，就是太成熟了，太懂事了，懂事的让人忘记你还是个13岁的小朋友，忘记你也需要亲亲抱抱举高高",2017年11月25日 10:06,FwGSfbReQ,12079,13065,https://weibo.cn/comment/FwGSfbReQ?rl=1
,Arna1372,"乖宝宝是这样说的:“男人要经得起诱惑，女人要耐得起寂寞。”[太阳] ,",2017年11月26日 10:01,FwQgYsjMm,0,,https://weibo.cn/comment/FwQgYsjMm?uid=5960377857&rl=1
,黑猫璟璟,"【开团】新西兰五星花生酱开团！四种口味可选，太香了！无防腐剂无添加剂，不含糖，分有盐款和无盐款，8个月以上的宝宝都可以吃，不管是抹面包，火锅蘸料还是空口吃，真的是太~好~吃~了！ ,",2017年11月26日 10:01,FwQh1m9Gm,0,,https://weibo.cn/comment/FwQh1m9Gm?uid=1820674091&rl=1
,文生不枉此生,"生日快乐宝宝[太开心][太开心][太开心],",2017年11月26日 10:01,FwQh14vcn,0,,https://weibo.cn/comment/FwQh14vcn?uid=6366298066&rl=1
1,haohao牛奶,"胖胖太会玩了 第一次没录上玩的超级6 真是个小宝宝, , ,嫉妒让我丑陋",2017年11月26日 10:01,FwQgYq59u,1,,https://weibo.cn/comment/FwQgYq59u?uid=1780679080&rl=1
,Xirashine,《梦想通常遥不可及》我现在脑子秀逗掉了 现在生出了两个有生之年不也许等到挂了也实现不了的梦想 一个是想在三十岁之前有个大孙子[费解]另一个是将来想要两个老公[惊恐][惊恐]我需要现实把我打醒 或者去宝宝那里被电电[闪电],2017年11月26日 10:02,FwQhhBiBL,0,,https://weibo.cn/comment/FwQhhBiBL?uid=6061157172&rl=1
,等风来Sofia,"不正常的人还真不少～,宝宝觉不能受委屈～ ,",2017年11月26日 10:02,FwQhjmjjW,0,,https://weibo.cn/comment/FwQhjmjjW?uid=2805678967&rl=1
697,文嘉宝同学,"玩微博一年啦![太阳],同学开玩笑说看我的微博像是玩养成游戏, ,那各位玩家, 各位老婆, 各位陪伴我这么久的宝宝们 今天就带大家回顾一下养成游戏开机至此所有幸福的Big Events~评论里会附上所有干货文章的传送门[羞嗒嗒],1.2015年入学多伦多大学 算是完成了在霍格沃茨读书的心愿[制服],2.认识了Shayla和Sandra,3.香港大学交换&江苏卫视一站到底实习,4.关于和南外同学一起成立帷幄咨询公司,Verawood Consulting Company[公文包],5.满世界跑的足迹🐾,6.关于我和老龚[阿姨]‍[爱心]️‍[阿姨]💕,7.多伦多春晚主持 采访了方大同 蔡健雅和品冠老师🎙️,8.古巴旅行 收到复旦录取💯,9.复旦开学 开始了新的篇章🤗, ,2018 年…To be continued[星星],感谢一路有你们, 最感动的就是看到大家和我一起努力 慢慢往自己向往的生活上靠近。,我在这里祝所有看到这条微博的各位都可以 做自己喜欢的事, 读想读的书, 看远方的风景, 做一个有趣的人🤓📚,啊啊啊啊好想看看sandra的近照[馋嘴],嘉宝女神活成了我喜欢的样子嘿嘿[好喜欢] 果然是比你优秀的人还比你努力[偷乐]  2018年小目标：长高至160+ 体重维持86-92 白回婴儿期 阅读百本名著书籍并做好摘录 均分85+ 综测全班前五 英语过六级 计算机二级证 国考或考研做好明确规划提前备考 成为更好的自己 过着想要的生活 我一直在努力[心],18年上半年的小目标是证券从业和计算机二级能过!嘻嘻，希望自己能像嘉宝一样越努力越幸运! 还有最重要的，不要再熬夜了[允悲]嘉宝晚上也不要喝奶茶喝牛乳茶哦[兔子]爱你爱你[爱心],2018年高三狗想要考上东南大学，虽然很艰难但是要一点一点靠近呀 [爱你],2018，一定要多看书[小黄人无奈],2018考上理想的大学 ~加油冲冲冲[加油][加油],希望毕业之后挣到足够的钱到父母去趟俄罗斯看极光！,小姐姐最棒了！！图七的裙子是哪个牌子的？[太开心], 我总是会骄傲的跟别人说，这是我非常喜欢的一个小姐姐，努力、上进，还那么好看。 妈妈也很喜欢嘉宝，说你好看！因为你的生活特别的积极，三观也很正。妈妈很少说人好看，明星都不会觉得很好看（除了我[允悲]） 希望自己2018年可以顺利读研 希望嘉宝也会越来越好 最重要的是，宝宝可以积极更新！！！ ,2018希望可以考研成功！去见嘉宝哈哈哈[羞嗒嗒][羞嗒嗒][羞嗒嗒],回复,:,回复,:哈哈哈 好喜欢这句话",2017年11月25日 22:48,FwLRCbReS,1989,1776,https://weibo.cn/comment/FwLRCbReS?rl=1
35,张真源的喵粥,", 突然想到一个特别好笑的地方 谢幕的时候 拽了一下衣服 不小心连拉链也拽下来了 可能是感受到了一丝寒冷 着急忙慌地拉回去了[跪了], ,哈哈哈哈哈哈是个怕露的宝宝,[泪][泪]太可爱了 我又变成妈妈了,再酷再撩也是搞笑担当。[允悲][允悲][允悲],回复,:提裤子的笑死我[允悲],公子一直超可爱[允悲],怕漏的乖宝宝[亲亲],哎呀, 哈哈哈哈又想到了当年提裤子的真源//,: ,  哈哈哈哈哈哈哈。,怕露哈哈哈哈哈,再酷再撩也是搞笑担当。[允悲][允悲][允悲],哈哈哈哈[羞嗒嗒][羞嗒嗒][羞嗒嗒],张真源：故作镇定,哈哈，好可爱呀~",2017年11月25日 23:33,FwM9UyrVl,112,254,https://weibo.cn/comment/FwM9UyrVl?rl=1
,超级酷的小哥哥啊,哼唧，做连着考了三周的考试，考完了还做梦梦到凡宝宝监考[允悲],2017年11月26日 10:01,FwQh5cYMe,0,,https://weibo.cn/comment/FwQh5cYMe?uid=5880256636&rl=1
